library,time
pywget,2.69419334999111
requests,7.180749876002665
requests_session,2.3420100749935955
urllib,1.3642880170082208
urllib3,1.7497166539978934
pycurl,0.24776246599503793
pycurl_nossl,0.23695234300976153
cycletls,2.0552950270066503
